City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
612,Nova Olinda Do Norte,BR,76.87,few clouds,-3.8881,-59.0942,Jardim Paiva Hotel
614,Longhua,CN,88.74,scattered clouds,23.6137,114.1919,Huadu Hotel
615,Pamekasan,ID,87.1,overcast clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
621,Manado,ID,83.17,scattered clouds,1.487,124.8455,Aryaduta Hotel
629,Namatanai,PG,85.8,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
654,Lashio,MM,75.88,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
655,Wattegama,LK,83.32,overcast clouds,6.7989,81.4808,
660,Manggar,ID,86.05,overcast clouds,-2.8833,108.2667,Guest Hotel
661,Payyannur,IN,81.57,overcast clouds,12.1,75.2,Kavvayi Beach House
667,Stabat,ID,86.2,overcast clouds,3.761,98.4513,Link VII damai
669,Ormara,PK,78.57,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
675,Gunjur,GM,77.07,overcast clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
