City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Denpasar,-8.65,115.2167,87.46,70,20,8.05,ID,few clouds
80,Atar,20.5169,-13.0499,73.81,38,22,9.6,MR,few clouds
81,Gizo,-8.103,156.8419,84.56,66,28,0.74,SB,scattered clouds
82,Ponta Do Sol,32.6667,-17.1,67.71,64,8,8.01,PT,clear sky
83,Turukhansk,65.8167,87.9833,-6.16,100,100,1.61,RU,overcast clouds
84,Kahului,20.8947,-156.47,83.46,71,1,19.57,US,clear sky
85,Kedrovoye,57.1576,60.5698,33.24,63,100,12.64,RU,overcast clouds
86,Qaanaaq,77.484,-69.3632,11.26,69,98,10.45,GL,overcast clouds
87,Bethel,41.3712,-73.414,44.01,78,1,0.0,US,clear sky
88,Tura,25.5198,90.2201,72.73,68,6,2.42,IN,clear sky
89,Camacha,33.0833,-16.3333,63.82,55,75,10.36,PT,broken clouds
90,San Andres,12.5847,-81.7006,82.42,78,20,5.75,CO,few clouds
91,Yumen,40.2833,97.2,15.69,41,34,28.5,CN,scattered clouds
92,Oranienburg,52.75,13.2333,47.21,91,100,1.99,DE,overcast clouds
93,Nantucket,41.2835,-70.0995,46.96,61,1,5.75,US,clear sky
94,Clyde River,70.4692,-68.5914,13.46,94,96,6.17,CA,overcast clouds
95,Northam,51.0333,-4.2167,53.1,82,98,12.17,GB,overcast clouds
96,Hermanus,-34.4187,19.2345,55.9,76,11,5.01,ZA,few clouds
97,Kodiak,57.79,-152.4072,34.75,80,99,7.0,US,overcast clouds
98,Bredasdorp,-34.5322,20.0403,47.28,93,19,0.0,ZA,few clouds
99,Hilo,19.7297,-155.09,85.28,75,1,4.61,US,clear sky
100,Olafsvik,64.8945,-23.7142,36.54,88,100,21.21,IS,overcast clouds
101,Ornskoldsvik,63.2909,18.7153,34.75,100,75,5.75,SE,broken clouds
102,Thinadhoo,0.5333,72.9333,77.99,88,100,21.56,MV,light rain
103,Khatanga,71.9667,102.5,5.63,93,100,19.48,RU,overcast clouds
104,Beboto,8.2668,16.939,72.81,76,99,3.44,TD,overcast clouds
105,Dombarovskiy,50.7587,59.5386,24.22,23,69,8.03,RU,broken clouds
106,Saint-Leu,-21.15,55.2833,78.96,84,0,8.39,RE,clear sky
107,Nome,64.5011,-165.4064,26.67,86,90,14.97,US,overcast clouds
108,Grand Gaube,-20.0064,57.6608,78.39,74,1,5.01,MU,clear sky
109,Guerrero Negro,27.9769,-114.0611,66.97,86,56,9.08,MX,broken clouds
110,Laguna,38.421,-121.4238,60.96,76,1,1.99,US,clear sky
111,Kapaa,22.0752,-159.319,80.58,78,75,1.01,US,light rain
112,Port Hedland,-20.3167,118.5667,91.45,52,2,17.27,AU,clear sky
113,Pocatello,42.8713,-112.4455,54.9,43,1,3.0,US,clear sky
114,Ayan,56.45,138.1667,22.62,89,100,18.59,RU,snow
115,Bengkulu,-3.8004,102.2655,77.5,84,100,7.56,ID,overcast clouds
116,Prince Rupert,54.3161,-130.3201,44.29,81,66,24.16,CA,light rain
117,Marzuq,14.4,46.4667,65.23,32,75,2.55,YE,broken clouds
118,Geraldton,-28.7667,114.6,72.01,46,0,16.11,AU,clear sky
119,Ulaangom,49.9811,92.0667,14.72,63,80,1.61,MN,broken clouds
120,Omsukchan,62.5333,155.8,13.51,92,97,8.81,RU,overcast clouds
121,Barda,40.3744,47.1267,47.48,54,85,5.3,AZ,overcast clouds
122,Karasjok,69.4719,25.5112,32.11,97,69,4.43,NO,broken clouds
123,Puntarenas,9.9763,-84.8384,80.53,90,86,2.57,CR,overcast clouds
124,Sabzevar,36.2126,57.6819,34.88,51,40,16.11,IR,scattered clouds
